Country,Year,GDP_per_Capita,Water_Access_Percent,WHO_Region
Papua New Guinea,2017,2695.25188280292,34.63,Western Pacific
Paraguay,2017,5680.58076826353,99.16,Americas
Peru,2017,6710.50802896038,75.58,Americas
Philippines,2017,3123.23422944462,89.96,Western Pacific
Poland,2017,13864.6817579973,99.54,Europe
Portugal,2017,21490.429863104,100.0,Europe
Qatar,2017,59124.9323657393,99.57,Eastern Mediterranean
Romania,2017,10807.7953907179,100.0,Europe
Russia,2017,10720.3325853448,92.62,Unknown
Rwanda,2017,772.318471775428,52.64,Africa
Samoa,2017,4259.7650014189,100.0,Western Pacific
San Marino,2017,45399.0290605549,100.0,Europe
Sao Tome and Principe,2017,1813.78323514196,76.95,Africa
Saudi Arabia,2017,20803.7459178785,100.0,Eastern Mediterranean
Senegal,2017,1361.69958778497,70.46,Africa
Serbia,2017,6292.54362926707,83.27,Europe
Seychelles,2017,15906.0839118192,96.25,Africa
Sierra Leone,2017,499.38070781976,50.14,Africa
Singapore,2017,60913.745333494,100.0,Western Pacific
Slovakia,2017,17556.6008176369,100.0,Europe
Slovenia,2017,23512.8172674713,99.4,Europe
Solomon Islands,2017,2332.8148736562,60.6,Western Pacific
South Africa,2017,6132.4798409721,80.68,Africa
South Korea,2017,31616.8434004683,99.79,Unknown
Spain,2017,28170.1678643302,100.0,Europe
Sri Lanka,2017,4077.04372120747,87.72,South-East Asia
Sudan,2017,1111.86844893858,53.2,Eastern Mediterranean
Suriname,2017,5637.5149461838,90.0,Americas
Sweden,2017,53791.5087298403,100.0,Europe
Switzerland,2017,80449.9945127739,100.0,Europe
Tajikistan,2017,806.041573098044,75.64,Europe
Tanzania,2017,1004.84112066441,42.5,Unknown
Thailand,2017,6592.91490169864,100.0,South-East Asia
Togo,2017,626.091527901405,48.39,Africa
Tonga,2017,4513.60953145965,99.77,Western Pacific
Trinidad and Tobago,2017,16238.1931916674,98.18,Americas
Tunisia,2017,3481.22873876516,88.71,Eastern Mediterranean
Turkey,2017,10591.4743712025,98.62,Europe
Turkmenistan,2017,6587.09031628698,100.0,Europe
Tuvalu,2017,3572.49357894833,98.78,Western Pacific
Uganda,2017,747.196907377979,41.25,Africa
Ukraine,2017,2640.67567655839,91.31,Europe
United Arab Emirates,2017,40644.804043392,98.05,Eastern Mediterranean
United Kingdom,2017,40361.4173832159,100.0,Unknown
United States,2017,60062.2223132211,96.97,Unknown
Uruguay,2017,17322.1473894404,95.3,Americas
Uzbekistan,2017,1826.56691924216,96.07,Europe
Vanuatu,2017,3082.35632289041,88.49,Western Pacific
Vietnam,2017,2365.62166567374,92.64,Unknown
Yemen,2017,960.528533738514,54.7,Eastern Mediterranean
Zambia,2017,1534.86675111219,41.95,Africa
Zimbabwe,2017,1548.17005572552,49.8,Africa
